ts_code,industry,score
300144.SZ,旅游景点,0.9166666666666666
000155.SZ,新型电力,1.0
603693.SH,新型电力,0.9166666666666666
603899.SH,文教休闲,1.0
002878.SZ,文教休闲,0.9722222222222222
300703.SZ,文教休闲,0.9444444444444444
000526.SZ,文教休闲,0.9166666666666666
603466.SH,文教休闲,0.8888888888888888
603129.SH,摩托车,1.0
000062.SZ,批发业,1.0
603506.SH,房产服务,1.0
002818.SZ,房产服务,0.8888888888888888
002027.SZ,影视音像,1.0
300770.SZ,影视音像,0.9777777777777777
603103.SH,影视音像,0.9555555555555556
002624.SZ,影视音像,0.9333333333333333
300251.SZ,影视音像,0.9111111111111111
002739.SZ,影视音像,0.8888888888888888
300778.SZ,建筑工程,1.0
300732.SZ,建筑工程,0.9880952380952381
603458.SH,建筑工程,0.9761904761904762
603357.SH,建筑工程,0.9642857142857143
002883.SZ,建筑工程,0.9523809523809523
002949.SZ,建筑工程,0.9404761904761905
300506.SZ,建筑工程,0.9285714285714286
300500.SZ,建筑工程,0.9166666666666666
603060.SH,建筑工程,0.9047619047619048
603359.SH,建筑工程,0.8928571428571429
603887.SH,建筑工程,0.8809523809523809
300781.SZ,广告包装,1.0
002812.SZ,广告包装,0.9736842105263158
002831.SZ,广告包装,0.9473684210526315
603429.SH,广告包装,0.9210526315789473
002951.SZ,广告包装,0.8947368421052632
601100.SH,工程机械,1.0
603218.SH,工程机械,0.9642857142857143
600031.SH,工程机械,0.9285714285714286
600761.SH,工程机械,0.8928571428571429
300618.SZ,小金属,1.0
002466.SZ,小金属,0.96875
002460.SZ,小金属,0.9375
603799.SH,小金属,0.90625
002959.SZ,家用电器,1.0
603868.SH,家用电器,0.9736842105263158
000333.SZ,家用电器,0.9473684210526315
002032.SZ,家用电器,0.9210526315789473
002508.SZ,家用电器,0.8947368421052632
603661.SH,家居用品,1.0
603610.SH,家居用品,0.9743589743589743
603833.SH,家居用品,0.9487179487179487
603816.SH,家居用品,0.9230769230769231
603709.SH,家居用品,0.8974358974358975
600053.SH,多元金融,1.0
600390.SH,多元金融,0.9583333333333334
000666.SZ,多元金融,0.9166666666666666
603657.SH,塑料,1.0
603806.SH,塑料,0.9772727272727273
002768.SZ,塑料,0.9545454545454546
300393.SZ,塑料,0.9318181818181818
002838.SZ,塑料,0.9090909090909091
603856.SH,塑料,0.8863636363636364
600007.SH,园区开发,1.0
600663.SH,园区开发,0.9333333333333333
600600.SH,啤酒,1.0
600826.SH,商贸代理,1.0
002091.SZ,商贸代理,0.95
600739.SH,商贸代理,0.9
600415.SH,商品城,1.0
300613.SZ,半导体,1.0
688368.SH,半导体,0.9818181818181818
688018.SH,半导体,0.9636363636363636
688008.SH,半导体,0.9454545454545454
603068.SH,半导体,0.9272727272727272
603986.SH,半导体,0.9090909090909091
688099.SH,半导体,0.8909090909090909
603368.SH,医药商业,1.0
603233.SH,医药商业,0.9583333333333334
000028.SZ,医药商业,0.9166666666666666
300791.SZ,医疗保健,1.0
688016.SH,医疗保健,0.9871794871794872
300760.SZ,医疗保健,0.9743589743589743
603579.SH,医疗保健,0.9615384615384616
688029.SH,医疗保健,0.9487179487179487
002901.SZ,医疗保健,0.9358974358974359
300642.SZ,医疗保健,0.9230769230769231
300595.SZ,医疗保健,0.9102564102564102
688202.SH,医疗保健,0.8974358974358975
002932.SZ,医疗保健,0.8846153846153846
600641.SH,区域地产,1.0
600340.SH,区域地产,0.9830508474576272
002016.SZ,区域地产,0.9661016949152542
600113.SH,区域地产,0.9491525423728814
000029.SZ,区域地产,0.9322033898305084
000732.SZ,区域地产,0.9152542372881356
601155.SH,区域地产,0.8983050847457628
000537.SZ,区域地产,0.8813559322033898
603332.SH,化纤,1.0
603225.SH,化纤,0.9565217391304348
600346.SH,化纤,0.9130434782608695
002698.SZ,化工机械,1.0
002430.SZ,化工机械,0.8888888888888888
603379.SH,化工原料,1.0
603217.SH,化工原料,0.993421052631579
300769.SZ,化工原料,0.9868421052631579
600309.SH,化工原料,0.9802631578947368
603260.SH,化工原料,0.9736842105263158
603585.SH,化工原料,0.9671052631578947
603650.SH,化工原料,0.9605263157894737
300725.SZ,化工原料,0.9539473684210527
688199.SH,化工原料,0.9473684210526315
603113.SH,化工原料,0.9407894736842105
603192.SH,化工原料,0.9342105263157895
603659.SH,化工原料,0.9276315789473685
002597.SZ,化工原料,0.9210526315789473
603360.SH,化工原料,0.9144736842105263
002709.SZ,化工原料,0.9078947368421053
300699.SZ,化工原料,0.9013157894736842
603867.SH,化工原料,0.8947368421052632
300121.SZ,化工原料,0.8881578947368421
300568.SZ,化工原料,0.881578947368421
603351.SH,化学制药,1.0
603590.SH,化学制药,0.99
000963.SZ,化学制药,0.98
002940.SZ,化学制药,0.97
300723.SZ,化学制药,0.96
603259.SH,化学制药,0.95
000513.SZ,化学制药,0.94
002294.SZ,化学制药,0.93
600276.SH,化学制药,0.92
300497.SZ,化学制药,0.91
603811.SH,化学制药,0.9
300630.SZ,化学制药,0.89
603096.SH,出版业,1.0
300788.SZ,出版业,0.9565217391304348
601019.SH,出版业,0.9130434782608695
600230.SH,农药化肥,1.0
603639.SH,农药化肥,0.9743589743589743
002749.SZ,农药化肥,0.9487179487179487
002942.SZ,农药化肥,0.9230769230769231
603086.SH,农药化肥,0.8974358974358975
002890.SZ,农用机械,1.0
300761.SZ,农业综合,1.0
002458.SZ,农业综合,0.96
300498.SZ,农业综合,0.92
002918.SZ,其他建材,1.0
002372.SZ,其他建材,0.9629629629629629
300737.SZ,其他建材,0.9259259259259259
300715.SZ,其他建材,0.8888888888888888
300755.SZ,其他商业,1.0
300622.SZ,其他商业,0.9
000885.SZ,公路,1.0
603776.SH,公共交通,1.0
000036.SZ,全国地产,1.0
600515.SH,全国地产,0.9722222222222222
001979.SZ,全国地产,0.9444444444444444
000042.SZ,全国地产,0.9166666666666666
600393.SH,全国地产,0.8888888888888888
300782.SZ,元器件,1.0
300747.SZ,元器件,0.9942857142857143
688007.SH,元器件,0.9885714285714285
002925.SZ,元器件,0.9828571428571429
688020.SH,元器件,0.9771428571428571
002962.SZ,元器件,0.9714285714285714
300679.SZ,元器件,0.9657142857142857
603160.SH,元器件,0.96
300752.SZ,元器件,0.9542857142857143
002841.SZ,元器件,0.9485714285714286
603267.SH,元器件,0.9428571428571428
002947.SZ,元器件,0.9371428571428572
603773.SH,元器件,0.9314285714285714
002952.SZ,元器件,0.9257142857142857
300709.SZ,元器件,0.92
688025.SH,元器件,0.9142857142857143
002916.SZ,元器件,0.9085714285714286
300661.SZ,元器件,0.9028571428571428
002913.SZ,元器件,0.8971428571428571
603228.SH,元器件,0.8914285714285715
300701.SZ,元器件,0.8857142857142857
603393.SH,供气供热,1.0
600681.SH,供气供热,0.9615384615384616
600167.SH,供气供热,0.9230769230769231
603706.SH,供气供热,0.8846153846153846
603871.SH,仓储物流,1.0
002120.SZ,仓储物流,0.9705882352941176
603967.SH,仓储物流,0.9411764705882353
002468.SZ,仓储物流,0.9117647058823529
603713.SH,仓储物流,0.8823529411764706
603444.SH,互联网,1.0
300792.SZ,互联网,0.9848484848484849
300571.SZ,互联网,0.9696969696969697
300785.SZ,互联网,0.9545454545454546
002555.SZ,互联网,0.9393939393939394
603613.SH,互联网,0.9242424242424242
002517.SZ,互联网,0.9090909090909091
300038.SZ,互联网,0.8939393939393939
600887.SH,乳制品,1.0
600419.SH,乳制品,0.9166666666666666
600566.SH,中成药,1.0
000538.SZ,中成药,0.9850746268656716
600211.SH,中成药,0.9701492537313433
600332.SH,中成药,0.9552238805970149
603858.SH,中成药,0.9402985074626866
000423.SZ,中成药,0.9253731343283582
600436.SH,中成药,0.9104477611940298
600129.SH,中成药,0.8955223880597015
300519.SZ,中成药,0.8805970149253731
300776.SZ,专用机械,1.0
300751.SZ,专用机械,0.9926470588235294
688001.SH,专用机械,0.9852941176470589
603666.SH,专用机械,0.9779411764705882
002960.SZ,专用机械,0.9705882352941176
002833.SZ,专用机械,0.9632352941176471
002884.SZ,专用机械,0.9558823529411765
300757.SZ,专用机械,0.9485294117647058
603757.SH,专用机械,0.9411764705882353
300756.SZ,专用机械,0.9338235294117647
688028.SH,专用机械,0.9264705882352942
603203.SH,专用机械,0.9191176470588235
603338.SH,专用机械,0.9117647058823529
603638.SH,专用机械,0.9044117647058824
603277.SH,专用机械,0.8970588235294118
300607.SZ,专用机械,0.8897058823529411
002957.SZ,专用机械,0.8823529411764706
300771.SZ,IT设备,1.0
002955.SZ,IT设备,0.9714285714285714
603025.SH,IT设备,0.9428571428571428
300743.SZ,IT设备,0.9142857142857143
603496.SH,IT设备,0.8857142857142857
